epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1511.51,1.26277,1.05484,1.46173,0.65707,0.65673,0.70423,0.33911,1.70369,1.32886,1.83821,0.000883079,0.000883079,0.000883079
69,1534.29,1.28294,1.0542,1.47266,0.63001,0.63948,0.66886,0.33225,1.69559,1.35293,1.82635,0.000879713,0.000879713,0.000879713
70,1555.82,1.26586,1.04328,1.45844,0.6137,0.64771,0.68134,0.33311,1.71398,1.40373,1.87528,0.000876305,0.000876305,0.000876305
71,1578.81,1.27048,1.04762,1.45203,0.65845,0.64015,0.69235,0.33211,1.73978,1.37451,1.8776,0.000872857,0.000872857,0.000872857
72,1600.51,1.26243,1.03808,1.44981,0.65625,0.66121,0.71001,0.34761,1.68993,1.35541,1.8387,0.000869368,0.000869368,0.000869368
73,1624.21,1.24096,1.01812,1.43453,0.65621,0.63584,0.68523,0.34226,1.68039,1.36075,1.82341,0.000865839,0.000865839,0.000865839
74,1647.36,1.23956,1.00081,1.429,0.61993,0.68481,0.70536,0.35343,1.67302,1.32154,1.80757,0.000862271,0.000862271,0.000862271
75,1669.66,1.24944,1.01394,1.43648,0.65915,0.62663,0.66881,0.32846,1.71312,1.37282,1.86054,0.000858664,0.000858664,0.000858664
76,1692.94,1.23556,1.01322,1.43551,0.60999,0.6343,0.67423,0.33535,1.68612,1.38148,1.82861,0.000855018,0.000855018,0.000855018
77,1714.67,1.21556,0.98965,1.42509,0.62404,0.65016,0.68056,0.32319,1.77006,1.39678,1.88952,0.000851333,0.000851333,0.000851333
78,1737.92,1.23185,0.98231,1.42064,0.64189,0.67338,0.69833,0.35269,1.65829,1.3029,1.82779,0.000847611,0.000847611,0.000847611
79,1759.88,1.21128,0.98286,1.42033,0.62586,0.66727,0.70538,0.36392,1.66821,1.32024,1.87348,0.000843851,0.000843851,0.000843851
80,1783.54,1.2094,0.9783,1.41204,0.61647,0.67843,0.69614,0.33712,1.722,1.37247,1.83282,0.000840054,0.000840054,0.000840054
81,1806.97,1.21517,0.96741,1.41637,0.6534,0.65377,0.68194,0.34394,1.70142,1.34805,1.84115,0.00083622,0.00083622,0.00083622
82,1828.68,1.20026,0.96758,1.40911,0.65993,0.62334,0.67175,0.33513,1.72063,1.39732,1.90049,0.000832349,0.000832349,0.000832349
83,1851.88,1.2238,0.97327,1.42022,0.68938,0.62939,0.68092,0.33877,1.7339,1.35142,1.88135,0.000828443,0.000828443,0.000828443
84,1873.2,1.1989,0.94839,1.41132,0.63541,0.65358,0.68422,0.33118,1.73879,1.37503,1.88178,0.000824502,0.000824502,0.000824502
85,1896.15,1.19124,0.93627,1.40156,0.64676,0.66128,0.69642,0.33992,1.75773,1.3805,1.90762,0.000820525,0.000820525,0.000820525
86,1917.92,1.20192,0.93362,1.40552,0.64783,0.65598,0.70145,0.3537,1.68816,1.34201,1.84182,0.000816514,0.000816514,0.000816514
87,1940.8,1.17914,0.92968,1.39926,0.60431,0.6838,0.68359,0.3382,1.71364,1.35696,1.8567,0.000812468,0.000812468,0.000812468
88,1963.02,1.1904,0.935,1.40329,0.63235,0.6425,0.6905,0.33943,1.71125,1.3667,1.87989,0.000808389,0.000808389,0.000808389
89,1984.68,1.16372,0.90417,1.37945,0.66498,0.64755,0.69076,0.35122,1.70416,1.31975,1.86569,0.000804277,0.000804277,0.000804277
90,2007.38,1.16973,0.91236,1.39227,0.68779,0.63648,0.68949,0.34631,1.72041,1.34153,1.87727,0.000800131,0.000800131,0.000800131
91,2028.87,1.18636,0.91007,1.39049,0.5903,0.67496,0.69028,0.34077,1.74405,1.36601,1.90602,0.000795954,0.000795954,0.000795954
92,2051.89,1.16822,0.91428,1.38409,0.63304,0.68977,0.70309,0.35562,1.69927,1.31092,1.85456,0.000791744,0.000791744,0.000791744
93,2073.61,1.15707,0.90826,1.38485,0.67886,0.65744,0.69153,0.34714,1.7313,1.31445,1.88513,0.000787503,0.000787503,0.000787503
94,2096.25,1.16058,0.89688,1.38122,0.63604,0.63917,0.66563,0.33824,1.74732,1.36021,1.89086,0.000783231,0.000783231,0.000783231
95,2117.87,1.14785,0.89427,1.36399,0.67168,0.63517,0.68965,0.34321,1.71076,1.30104,1.86969,0.000778929,0.000778929,0.000778929
96,2140.34,1.1525,0.88163,1.37631,0.66682,0.67216,0.70647,0.35887,1.70709,1.30203,1.88886,0.000774596,0.000774596,0.000774596
97,2163.32,1.14953,0.87999,1.37753,0.6338,0.65412,0.67904,0.34147,1.74647,1.35341,1.90442,0.000770234,0.000770234,0.000770234
98,2184.81,1.15027,0.87857,1.36657,0.60741,0.64986,0.65712,0.32232,1.74535,1.3573,1.90581,0.000765843,0.000765843,0.000765843
99,2207.51,1.15451,0.88999,1.36556,0.63118,0.67211,0.69489,0.3437,1.72545,1.30435,1.8817,0.000761423,0.000761423,0.000761423
100,2228.71,1.13218,0.86067,1.34308,0.62336,0.64284,0.68124,0.34622,1.73674,1.28961,1.9115,0.000756976,0.000756976,0.000756976
101,2251.47,1.11179,0.86613,1.34105,0.6575,0.6418,0.69394,0.34113,1.75514,1.30636,1.91489,0.0007525,0.0007525,0.0007525
102,2272.8,1.12094,0.85314,1.34734,0.63979,0.6398,0.70362,0.35439,1.74528,1.33087,1.94267,0.000747997,0.000747997,0.000747997
103,2295.58,1.10884,0.83871,1.34462,0.6639,0.66193,0.69149,0.34249,1.73186,1.31121,1.91915,0.000743468,0.000743468,0.000743468
104,2318.02,1.11003,0.8298,1.34511,0.69714,0.65249,0.7105,0.36057,1.71359,1.30278,1.8958,0.000738913,0.000738913,0.000738913
105,2339.74,1.10823,0.82463,1.34277,0.64475,0.64591,0.68017,0.33968,1.76246,1.35449,1.92721,0.000734332,0.000734332,0.000734332
106,2362.65,1.10018,0.83944,1.32952,0.62829,0.67305,0.69506,0.35158,1.68138,1.3185,1.868,0.000729725,0.000729725,0.000729725
107,2383.99,1.09603,0.83558,1.33333,0.63987,0.66323,0.6844,0.34301,1.75489,1.34184,1.97569,0.000725094,0.000725094,0.000725094
108,2406.77,1.0889,0.81578,1.33738,0.61707,0.6705,0.68911,0.34275,1.76017,1.34258,1.95903,0.000720439,0.000720439,0.000720439
