epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,7547.4,1.09394,0.82848,1.35249,0.71079,0.5997,0.68182,0.34247,1.69559,1.28225,1.88876,0.000374383,0.000374383,0.000374383
119,7611.38,1.08868,0.80987,1.36441,0.61826,0.65429,0.67481,0.33893,1.71521,1.30711,1.89452,0.000366899,0.000366899,0.000366899
120,7675.1,1.09429,0.81983,1.34774,0.66138,0.61546,0.66489,0.34389,1.67343,1.30713,1.87607,0.00035945,0.00035945,0.00035945
121,7739,1.06982,0.79832,1.34476,0.72379,0.57565,0.66695,0.34077,1.71211,1.3124,1.91284,0.000352037,0.000352037,0.000352037
122,7802.28,1.07228,0.81046,1.33739,0.64681,0.60077,0.64725,0.32586,1.738,1.34081,1.93259,0.000344661,0.000344661,0.000344661
123,7865.93,1.05352,0.79055,1.3275,0.59651,0.63484,0.64973,0.33617,1.6958,1.30849,1.91027,0.000337325,0.000337325,0.000337325
124,7929.5,1.06234,0.80433,1.33563,0.65086,0.60638,0.65863,0.3342,1.72349,1.33389,1.93122,0.00033003,0.00033003,0.00033003
125,7992.96,1.05855,0.77082,1.33396,0.645,0.63486,0.67082,0.33791,1.75115,1.3221,1.96745,0.000322778,0.000322778,0.000322778
126,8056.2,1.04873,0.78162,1.32771,0.62666,0.65012,0.65607,0.33912,1.73053,1.30967,1.92716,0.000315572,0.000315572,0.000315572
127,8119.83,1.03004,0.75599,1.31525,0.58972,0.6445,0.65762,0.33812,1.73975,1.31249,1.95528,0.000308412,0.000308412,0.000308412
128,8183.26,1.02546,0.76023,1.31319,0.58213,0.64517,0.63899,0.32809,1.74039,1.35018,1.9417,0.0003013,0.0003013,0.0003013
129,8246.58,1.02491,0.76134,1.31113,0.63228,0.6002,0.64272,0.32538,1.74255,1.34155,1.96538,0.000294239,0.000294239,0.000294239
130,8310.11,1.01136,0.74107,1.2878,0.64997,0.60144,0.66034,0.33528,1.74218,1.33156,1.96969,0.00028723,0.00028723,0.00028723
131,8373.97,1.00848,0.73199,1.29751,0.65008,0.62668,0.6645,0.33103,1.76257,1.33925,1.98626,0.000280275,0.000280275,0.000280275
132,8437.63,1.00748,0.74063,1.29889,0.62272,0.63108,0.65796,0.32683,1.75532,1.33425,1.9851,0.000273375,0.000273375,0.000273375
133,8501.25,1.00452,0.74503,1.29595,0.68012,0.62315,0.67362,0.33484,1.7514,1.31942,1.96154,0.000266532,0.000266532,0.000266532
134,8564.75,1.00902,0.73321,1.29523,0.6671,0.61015,0.65663,0.33091,1.74177,1.34144,1.96675,0.000259748,0.000259748,0.000259748
135,8628.27,0.99154,0.71555,1.28704,0.62677,0.63483,0.66456,0.33648,1.71804,1.33233,1.94931,0.000253024,0.000253024,0.000253024
136,8691.86,0.9934,0.70346,1.27205,0.69605,0.5861,0.65965,0.33235,1.74951,1.33004,1.96081,0.000246363,0.000246363,0.000246363
137,8755.42,0.98637,0.71105,1.27439,0.66739,0.59766,0.65887,0.3314,1.74137,1.33988,1.93724,0.000239766,0.000239766,0.000239766
138,8818.96,0.97725,0.70392,1.28101,0.68368,0.6099,0.6682,0.33793,1.7666,1.33827,1.97747,0.000233234,0.000233234,0.000233234
139,8882.76,0.9862,0.71139,1.27443,0.63983,0.61471,0.65818,0.33449,1.75584,1.34304,1.98076,0.000226769,0.000226769,0.000226769
